Symbol,entry date,Entry Point,exit date,Exit Point,Stop Loss,Wins,Losses,Profit/loss
M&M.NS,2020-10-05,607.0,2020-10-08,634.1500244140625,1219.7295483398436,1,0,27.1500244140625
M&M.NS,2020-10-15,617.2999877929688,2020-11-19,703.9000244140625,1219.7295483398436,2,0,113.75006103515625
M&M.NS,2021-03-25,791.7000122070312,2021-06-03,802.0499877929688,1219.7295483398436,3,0,124.10003662109375
M&M.NS,2021-07-09,771.5499877929688,2021-08-30,791.5499877929688,1219.7295483398436,4,0,144.10003662109375
M&M.NS,2021-09-15,755.0999755859375,2021-10-04,841.1500244140625,1219.7295483398436,5,0,230.15008544921875
M&M.NS,2021-12-10,859.7000122070312,2022-01-25,854.5,1219.7295483398436,5,1,224.9500732421875
M&M.NS,2022-02-25,807.5999755859375,2022-04-13,866.0999755859375,1219.7295483398436,6,1,283.4500732421875
M&M.NS,2022-10-11,1229.550048828125,2022-11-07,1351.300048828125,1219.7295483398436,7,1,405.2000732421875
M&M.NS,2022-12-06,1263.050048828125,2023-01-17,1320.8499755859375,1219.7295483398436,8,1,463.0
HCLTECH.NS,2020-11-20,819.25,2020-12-15,886.0,1057.4189758300781,1,0,66.75
HCLTECH.NS,2021-02-22,920.1500244140625,2021-03-25,957.0499877929688,1057.4189758300781,2,0,103.64996337890625
HCLTECH.NS,2021-05-06,916.0,2021-06-17,986.4000244140625,1057.4189758300781,3,0,174.04998779296875
HCLTECH.NS,2021-11-02,1170.6500244140625,2021-12-24,1265.199951171875,1057.4189758300781,4,0,268.59991455078125
HCLTECH.NS,2022-02-04,1163.800048828125,2022-03-28,1163.949951171875,1057.4189758300781,5,0,268.74981689453125
HCLTECH.NS,2022-04-19,1070.25,2022-08-25,943.7999877929688,1057.4189758300781,5,1,142.2998046875
